Summary,Requirement ID,Description,Requirement Rationale
CF: No-Op Command,CF1000,"When CF receives a ""No-Op"" command, CF shall increment the ""CF Valid-Command Counter"" and issue a cFE event message.",CF application is a cFS compliant component that must implement the cFS architectural patterns. The No-Op command allows operational checks on the end-to-end CF command and telemetry paths.
CF: Reset Counters Command,CF1001,"When a ""Reset-Counters"" command is received, CF shall set the command-specified ""housekeeping counters"" to a value of zero.",cFS architectural pattern for application operational interfaces. Allows for partial or full resetting of housekeeping counters. All reset operations should be observable.
CF: Command Length Verification,CF1002,"If a command's header-specified length is not equal to the expected command length, CF shall reject the command.","For robust and secure operations, command must be validated prior to execution. Basic command verification in the event of SEU or memory corruption. "
CF: Valid Command Counter,CF1003,"When CF receives a valid command, CF shall increment the ""CF Valid-Command Counter"" and issue a ""Command Received"" cFE event message. ",Support an operational interface to provide operator feedback. 
CF: Reject Invalid Command,CF1004,"When CF receives a command, if the command is not valid, CF shall reject the command.","For robust and secure operations, invalid commands must be rejected and not executed."
CF: Reject Invalid Command - Validation Before Execution,CF1004.1,"When CF receives a command, CF shall check that the command is valid before execution.","For robust and secure operations, commands and their parameters must be validated prior to execution"
CF: Reject Invalid Command - Event And Counter,CF1004.2,"When CF rejects a command, CF shall issue a ""Command Rejected"" error event message and increment the ""CF Command Rejected"" Counter.",Provide operator feedback; operators need to be made aware of command rejection both in real-time through cFS event messages and through HouseKeeping telemetry through counters.
CF: Process Received File Transfer,CF2000,"When CF receives a CFDP receive-file protocol-directive PDU, CF shall process the file transfer request according to the directive-specified CFDP Mode, ""Unacknowledged"" Class-1 Service or ""Acknowledged"" Class-2 Service. ",Basic file transfer function that specifies the CFDP classes that shall be implemented.
CF: Extract PDUs From Software Bus Messages,CF2001,CF shall extract uplinked CFDP PDUs from cFE-SB messages.,CF application is a cFS compliant component that must implement the cFS architectural patterns
CF: Reconstruct Received File,CF2002,CF shall extract file data from File-Data PDUs and reconstruct an identical copy of the extracted file from the meta-data-specified directory.,Basic CFDP function with fault handling defined in sub requirements
CF: Reconstruct Received File - Fault Handling,CF2002.1,"If CF detects that a ""fault"" has occurred, CF shall close out the transaction and issue an ""Error"" cFE event message.","For robust and secure operations, errors in execution must be detected and handled with appropriate constraints on resource use and state machine iterations.  ""Close out"" is intentionally vague since the action needs to be appropriate for the transmission class.  As long as the transaction doesn't hang and become stale the requirement is met.  Note ""cancel"" is overly specific, there's a cancel transaction command that is different than what is done here."
CF: Reconstruct Received File - Fault Handling - Detected Fault Scenarios,CF2002.1.2,"CF shall detect the following scenarios and identify them as faults:
1. Positive Ack Limit Reached
2. Filestore Rejection
3. File-CRC Mismatch Failure
4. File-Size Error
5. NAK Limit Reached
6. Inactivity Limit Reached",Fault scenarios explicitly listed and tested for specification compliance.
CF: Reconstruct Received File - Fault Handling - Reset Of Freed Transaction,CF2002.1.3,CF shall issue a DEBUG message if an attempt is made to reset a transaction that has already been freed,Provides diagnostic visibility into invalid or duplicate transaction cleanup attempts
CF: Transfer File Command,CF3000,"When CF receives a ""Transfer File"" command, CF shall play back the file indicated by the command-specified: filename, source path, destination path, keep/delete flag, service class, priority, channel, and peer-entity id. ","Also referred to as ""playback file"" command. Basic function of file transfer required to operate cFS flight systems. "
CF: Transfer File Command - File Open,CF3000.1,"When CF receives a ""Transfer File"" command, if the command-specified is open, CF reject the command.",Open files are in a uncertain state and may change during transfer potential containing erroneous data or cause other undefined behaviors
